material_id,pick_count
NHA48752,8
NHA53589,8
NHA53767,14
NHA61193,10
NHA65270,12
NHA68566,7
NHA72325,1
NHA72586,3
NHA72587,1
NHA72588,8
NHA74459,2
NHA87539-K,2
NHA88868,2
NNZ23522,4
NNZ23525,2
NNZ52946,1
NNZ59618,3
NNZ73686,6
NNZ73708,9
NNZ77523,1
NNZ85228,1
NSYCCOHY230VID,4
NSYCCOTHC,39
NSYCR100WU2,34
NVE11103,1
NVE11105,2
NVE11138,1
NVE13753,2
NVE14979,1
NVE18124,1
NVE23154,1
NVE25093,2
NVE25419,4
NVE26684,3
NVE44077,5
NVE44362,2
NVE44363,23
NVE46947,2
NVE54755,1
NVE54757,3
NVE54761,2
NVE57759,1
NVE62557,1
NVE63136,2
NVE63137,1
NVE65935R14,2
NVE65935S07,1
NVE74895,23
NVE83009R12,7
NVE83009S07,1
NVE83472,11
NVE83485,3
NVE84374,23
NVE84918,1
NVE84920,1
NVE88767,13
NVE90311,18
NVE90312,3
NVE90313,3
NVE90314,4
NVE95219,14
NVE95220,3
NVE95221,4
OGH0212,2
OGH0604,2
OGH0606,5
OGH0607,1
OKK00018,1
OKK00030,14
OKK00084,13
OKK00249,15
OKK01243,1
OKK01254,2
OKK01886,1
OKK01888,1
OKK02035,4
OKK02060,7
P7M10029,1
P7M12001,1
P7M12003,3
P7M12005,1
P7M12006,1
P7M12007,1
P7M14011,1
P7M16003SET,2
P7M16079,1
P7M17001,4
P7M17002,6
P7M17003SET,9
P7M17004SET,9
P7M17006SET,11
P7M17010,5
P7M17021,2
P7M17026,3
P7M17079,8
P7M17084,1
P7M17101,4
P7M17102,1
P7M18001,5
P7M18002,3
P7M18003,5
P7M18005SET,2
P7M18006,5
P7M18013,2
P7M18023,3
P7M18034,2
PAS600L,2
PHA14081,1
PHA14387,2
PHA17941,14
PHA24106,3
PHA37060,21
PHA38174,22
PHA77817,1
PHA77820,1
PHA79812,2
PHA81106,2
PHN-2868606,5
PHN-2907719,1
PKR40755S07,1
PKR42621,1
PKR42628,2
PKR42704,1
PKR42705,1
PKR45632,10
PKR56799,4
PKR59589,13
PKR59590,16
PKR59591,14
PKR91906,1
PRIZ-BT-77505,3
QGH17901,25
QGH20773,31
QGH28830,4
QGH32762,3
QGH36704,2
QGH37094TR,20
QGH44733,19
QGH49432,1
QGH54010,4
QGH66332-70,1
QGH68575,2
QGH68580,1
REL52004,1
REL52805,35
REL52867,5
REL91357,5
RJ45KUTU,6
RK-926-315-BD,1
RM35UA13MW,1
RSL1AB4BD,1
RSL1PVBU,3
RXM040W,18
RXM041FU7,6
RXM2AB1ED,4
RXM2AB1P7,5
RXM4AB1BD,1
RXM4AB1P7,9
RXM4AB1U7,3
RXM4AB2BD,2
RXM4AB2GD,12
RXM4AB2P7,6
RXZE2M114M,31
S1A11835,17
S1A17088,11
S1A17880,6
S1A19361,1
S1A20320,2
S1A20643,1
S1A21284,9
S1A23008,5
S1A23251,16
S1A24150,1
S1A25783,1
S1A25814,1
S1A25974,1
S1A26045,1
S1A26459,3
S1A26462,3
S1A27817,6
S1A28096,3
S1A28562,2
S1A34242,2
S1A35572,1
S1A37651,2
S1A37652,1
S1A41933,3
S1A50595,3
S1A52369,4
S1A52413,3
S1A63485,9
S1A63487,7
S1A63488,12
S1A63493,2
S1A64022,3
S1A67957,9
S1A67959,5
S1A68123,1
S1A68920,10
S1A68924,3
S1A70177,7
S1A71563,7
S1A74397,3
S1A79150,4
S1A79496,12
S1A80160,8
S1A80474,7
S1A81405,9
S1A81987,2
S1A81988,2
S1A82710,8
S1A83759,1
S1A89833,1
S1A89834,1
S1A90330,2
S1A90331,1
S1A90333,5
S1A90334,1
S1A90336,4
S1A90340,1
S1A90341,8
S1A91068,1
S1A91664,1
S1A91668,2
S1A91670,4
S1A92263,5
S1B12501,2
S1B13759,4
S1B17282,10
S1B17927,1
S1B18405,1
S1B27927,3
S1B28347,4
S1B28636,2
S1B28639,4
S1B28641,1
S1B28642,2
S1B32159,3
S1B33035,8
S1B33603,5
S1B34391,2
S1B34500,1
S1B35575,1
S1B45130,1
S1B45131,3
S1B46834,4
S1B52244,7
S1B60455,5
S1B60456,5
S1B66738,1
S1B68344,6
S1B68355,2
S1B90388,1
S1B90975,28
S6-CT-CMC1MX,2
S6-CT-CMC3MX,2
S6-CT-DMHTD3C,1
S6-CT-DMHTD3X,7
S6-CT-DMHTS1C,3
S6-CT-DMHTS1X,3
S6-CT-DMHTS3X,3
S6-CT-DMTTD3X,1
S6-CT-DMTTS1X,5
S6-CT-DMTTS3X,3
S6-KK-O-CT-DM,30
S6-KK-O-CT-GB,3
S6-KK-O-VT-DM,9
S6-KK-O-VT-DMC,2
S6-TM-O-F,13
S6-TM-O-RJ45,4
S6-VT-CMC2MX,4
S6-VT-CMC3MX,1
S6-VT-CMC4MX,1
S6-VT-DMAED1C,3
S6-VT-PHA67814,2
SETSM600063,1
TME43529,6
TRFESITAS001,14
TRFESITAS004,2
TRFESITAS007,2
TRFESITAS010,3
TRFESITAS011,1
TRFESITAS014,3
TRFESITAS015,5
TRFESITAS017,1
TUR10004,1
