material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3405720F0,F-12-02-L3,F,12,3,1,0
3405735F0,D-07-02-L0,D,7,0,0,1
3405736F0,D-07-01-L1,D,7,1,0,1
3405740F0,G-11-01-L1,G,11,1,0,0
3405743F0,C-08-03-L0,C,8,0,0,0
3405753F0,F-12-03-L3,F,12,3,1,0
3405772F0,F-04-02-L4,F,4,4,1,0
3405803F0,A-07-02-L0,A,7,0,0,0
3405811F0,J-05-03-L5,J,5,5,1,36
3405812F0,B-11-03-L2,B,11,2,0,30
3405813F0,C-10-01-L4,C,10,4,1,48
3405966F0,C-05-01-L6,C,5,6,1,14
3405966F0-H,D-01-03-L8,D,1,8,1,8
3405966F0-KH,J-01-03-L1,J,1,1,0,46
3405967F0,G-09-02-L6,G,9,6,1,7
3405967F0-H,D-03-03-L6,D,3,6,1,4
3405967F0-KH,F-04-01-L6,F,4,6,1,23
3405968F0,G-02-01-L6,G,2,6,1,0
3405968F0-G,G-02-02-L6,G,2,6,1,9
3405968F0-KH,D-03-01-L7,D,3,7,1,6
3405969F0-KH,D-03-02-L7,D,3,7,1,6
3406000F0,I-09-01-L0,I,9,0,0,0
3406001F0,I-09-02-L0,I,9,0,0,0
3406002F0,F-07-01-L0,F,7,0,0,0
3406003F0,G-08-01-L0,G,8,0,0,0
3406018F0,E-01-02-L1,E,1,1,0,0
3406036F0,J-03-02-L4,J,3,4,1,12
3406038F0,E-01-03-L4,E,1,4,1,17
3406039F0,A-11-01-L3,A,11,3,1,10
3406040F0,I-01-02-L4,I,1,4,1,0
3406041F0,J-03-03-L4,J,3,4,1,0
3406042F0,J-01-01-L4,J,1,4,1,1
3406043F0,I-01-03-L4,I,1,4,1,1
3406103F0,C-05-03-L1,C,5,1,0,0
3406104F0,B-12-01-L1,B,12,1,0,0
3406107F0,B-07-02-L3,B,7,3,1,0
3406107F0CD,E-02-02-L1,E,2,1,0,0
3406111F0,G-11-02-L1,G,11,1,0,0
3406210F0,G-02-01-L3,G,2,3,1,10
3406222F0,D-05-03-L2,D,5,2,0,0
3406399F0,C-03-03-L3,C,3,3,1,1538
3407354F0,A-03-02-L1,A,3,1,0,0
3407450T0,H-06-02-L3,H,6,3,1,0
