material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3736526,D-11-01-L8,D,11,8,1,0
3736825,G-07-02-L7,G,7,7,1,0
3816992N0,E-06-03-L8,E,6,8,1,0
3930818AG,H-04-02-L5,H,4,5,1,2
3931256S07,E-11-02-L1,E,11,1,0,7
3931273,D-10-02-L2,D,10,2,0,7
3931275,A-07-01-L1,A,7,1,0,7
3931467S07,I-02-02-L6,I,2,6,1,4
3931519,A-07-01-L2,A,7,2,0,7
3932230,G-05-03-L4,G,5,4,1,1
4690212,C-03-03-L1,C,3,1,0,43
4690416,C-03-03-L2,C,3,2,0,43
4690488,C-04-01-L0,C,4,0,0,43
4690492,C-04-01-L1,C,4,1,0,43
4690494,C-04-01-L2,C,4,2,0,43
4690516,C-04-02-L0,C,4,0,0,43
47078,A-02-01-L4,A,2,4,1,0
5009001,D-05-01-L7,D,5,7,1,0
51000029A,B-01-02-L7,B,1,7,1,0
51000029BCD,G-04-02-L5,G,4,5,1,1
51000029BCE,G-03-01-L8,G,3,8,1,2
51000107E,F-06-02-L4,F,6,4,1,0
51000107F,F-06-01-L5,F,6,5,1,0
51000426,E-04-01-L0,E,4,0,0,32
51000504,D-02-03-L0,D,2,0,0,72
51000505,J-10-01-L0,J,10,0,0,70
51000596,G-02-02-L8,G,2,8,1,2
51000602,H-02-01-L5,H,2,5,1,4
51000619,A-03-02-L7,A,3,7,1,0
51000623,G-08-02-L7,G,8,7,1,0
51000646,H-11-02-L1,H,11,1,0,16
51000683,F-12-01-L0,F,12,0,0,7
51000689,E-11-02-L0,E,11,0,0,7
51000691-21S07,G-11-01-L8,G,11,8,1,0
51000691-22S07,C-04-01-L8,C,4,8,1,0
51000691S07,G-05-01-L2,G,5,2,0,87
51000692,F-08-01-L4,F,8,4,1,0
51000703,C-05-03-L2,C,5,2,0,40
5100070301,H-05-03-L3,H,5,3,1,2
51000704,C-06-01-L0,C,6,0,0,40
51000736,B-06-01-L1,B,6,1,0,62
51000753,C-04-03-L2,C,4,2,0,42
51000782,G-03-02-L3,G,3,3,1,2
51000810,H-09-03-L7,H,9,7,1,0
51000821,H-03-02-L5,H,3,5,1,3
51000824,G-05-03-L5,G,5,5,1,1
51000861,J-06-01-L6,J,6,6,1,2
51000862,E-06-01-L7,E,6,7,1,0
51000862SN,F-02-03-L8,F,2,8,1,2
51000961,G-03-02-L4,G,3,4,1,2
5100096101,H-05-03-L4,H,5,4,1,2
51000975,C-10-02-L7,C,10,7,1,0
51000987SN,H-03-02-L6,H,3,6,1,3
51002502U33,U-08-02-L2,U,8,2,0,6
51004136U48,U-03-02-L3,U,3,3,1,0
51004137U41,H-05-03-L5,H,5,5,1,2
51004391U4,G-02-02-L3,G,2,3,1,2
51004391U8,J-04-02-L4,J,4,4,1,3
51004743UA,B-11-03-L5,B,11,5,1,0
51004743UE,B-12-01-L3,B,12,3,1,0
51006522M0,A-06-01-L1,A,6,1,0,8
51007512U13,H-05-03-L6,H,5,6,1,2
51108708M0,E-01-03-L2,E,1,2,0,157
51164028F0,H-01-01-L1,H,1,1,0,463
51164031F0,B-03-03-L3,B,3,3,1,0
51164072F0,F-06-01-L7,F,6,7,1,0
51164089F0,H-08-01-L2,H,8,2,0,30
51164090F0,J-04-02-L0,J,4,0,0,317
51164098F0,J-02-01-L0,J,2,0,0,509
51164108F0,B-01-03-L1,B,1,1,0,69
51164109F0,J-01-02-L0,J,1,0,0,440
51164181F0,G-01-02-L1,G,1,1,0,287
51164195F0,C-02-03-L2,C,2,2,0,45
51164196F0,G-09-03-L2,G,9,2,0,18
51164272F0,B-12-03-L8,B,12,8,1,0
51164273F0,G-06-01-L8,G,6,8,1,0
51164286F0,U-13-01-L6,U,13,6,1,0
51164287F0,A-10-03-L8,A,10,8,1,0
51164289F0,G-04-03-L0,G,4,0,0,119
51164302F0,B-03-01-L5,B,3,5,1,0
51164302F0_SISMIC,A-05-01-L8,A,5,8,1,0
51164306F0,G-06-03-L8,G,6,8,1,0
51164333F0,B-05-03-L7,B,5,7,1,0
51164336F0,C-12-02-L3,C,12,3,1,0
51164365FC,I-09-01-L4,I,9,4,1,0
51164407F0,E-02-01-L1,E,2,1,0,110
51164417F0,I-06-01-L0,I,6,0,0,116
51164478F0,H-09-02-L7,H,9,7,1,0
51164483F0,I-01-03-L1,I,1,1,0,517
51164495F0,B-01-02-L3,B,1,3,1,0
51164500F0,H-07-01-L1,H,7,1,0,76
51164507F0,D-04-01-L0,D,4,0,0,25
51164508F0,E-01-01-L2,E,1,2,0,160
51164543F0,H-04-02-L1,H,4,1,0,185
51164559F0,C-10-02-L3,C,10,3,1,0
51189523F0,F-11-02-L8,F,11,8,1,0
51189527F0,G-10-02-L3,G,10,3,1,0
51189790F0,C-10-01-L4,C,10,4,1,0
51189792F0,C-10-02-L4,C,10,4,1,0
51189885F0,A-02-02-L4,A,2,4,1,0
51189972F0,A-09-01-L8,A,9,8,1,0
51189973F0,B-01-03-L3,B,1,3,1,0
51189975F0,J-14-01-L7,J,14,7,1,0
51189977F0,J-14-02-L7,J,14,7,1,0
51229055F0,H-01-01-L2,H,1,2,0,463
51229171F0,A-04-01-L2,A,4,2,0,14
51229172F0,I-11-02-L1,I,11,1,0,14
51229315F0,C-03-02-L4,C,3,4,1,0
51229316F0,B-12-02-L3,B,12,3,1,0
51229321F0,G-06-02-L8,G,6,8,1,0
51229323F0,A-12-03-L6,A,12,6,1,0
51229333F0,B-12-03-L5,B,12,5,1,0
51229343F0,G-10-03-L3,G,10,3,1,0
51229357F0,U-12-01-L6,U,12,6,1,0
51229362F0,I-08-02-L4,I,8,4,1,0
51229363F0,U-12-02-L6,U,12,6,1,0
51229368F0,A-11-01-L8,A,11,8,1,0
51229369F0,A-11-02-L8,A,11,8,1,0
51229371FB,G-12-02-L3,G,12,3,1,0
51235002F0,I-07-01-L1,I,7,1,0,79
51235003F0,C-02-02-L2,C,2,2,0,46
51235004F0,D-01-01-L2,D,1,2,0,99
51235005F1,G-09-03-L0,G,9,0,0,18
51235006F1,G-09-03-L1,G,9,1,0,18
51235014F0,U-14-02-L6,U,14,6,1,0
51235027F0,E-07-03-L0,E,7,0,0,17
51235028F0,J-10-02-L0,J,10,0,0,70
51235029F0,D-03-03-L2,D,3,2,0,28
51235030F0,H-06-03-L2,H,6,2,0,100
51235034F0,B-04-03-L2,B,4,2,0,65
51235035F0,D-01-03-L2,D,1,2,0,94
51235042F0,G-01-01-L1,G,1,1,0,295
51235047F0,B-04-03-L0,B,4,0,0,65
51235048F0,C-02-02-L1,C,2,1,0,46
51235066F0,B-03-02-L7,B,3,7,1,0
51235067F0,E-11-01-L6,E,11,6,1,0
51235068F0,F-08-03-L7,F,8,7,1,0
51235072F0,I-03-02-L0,I,3,0,0,306
51235073F0,B-03-03-L1,B,3,1,0,66
51235076F0,D-04-01-L2,D,4,2,0,25
51235077F0,F-05-01-L2,F,5,2,0,71
51235078F0,B-04-03-L1,B,4,1,0,65
51235079F0,A-10-03-L6,A,10,6,1,0
51235082F0,H-06-01-L2,H,6,2,0,101
51235083F0,G-01-01-L0,G,1,0,0,295
51235084F0,C-09-01-L0,C,9,0,0,37
51235085F0,G-06-03-L0,G,6,0,0,51
51235087F0,F-06-01-L2,F,6,2,0,28
51235093F0,G-05-03-L6,G,5,6,1,1
51235094F0,U-03-01-L4,U,3,4,1,0
51235197F0,H-02-03-L6,H,2,6,1,3
51235199F0,H-01-01-L0,H,1,0,0,466
51235207F0,I-11-03-L6,I,11,6,1,0
51235211F0,U-10-02-L1,U,10,1,0,6
51235217F0,H-06-01-L0,H,6,0,0,102
51235218F0,C-01-02-L0,C,1,0,0,49
51235219F0,C-01-01-L2,C,1,2,0,49
51235220F0,C-01-01-L1,C,1,1,0,49
51235221F0,B-12-01-L1,B,12,1,0,53
