material_id,pick_count
OKK01254,1
OKK01888,2
OKK02035,18
OKK02060,4
P7M-SET4131,1
P7M10029,2
P7M12001,2
P7M12002AB,2
P7M12003,5
P7M12005,2
P7M12006,4
P7M12007,8
P7M12008,3
P7M12019,1
P7M13001,1
P7M14011,1
P7M16001SET,2
P7M16003SET,1
P7M17001,1
P7M17002,2
P7M17003SET,8
P7M17004SET,4
P7M17006SET,10
P7M17010,12
P7M17026,2
P7M17079,5
P7M17100SET,2
P7M17101,1
P7M18001,8
P7M18003,3
P7M18005SET,8
P7M18006,18
P7M18013,1
P7M18034,2
PHA14086,1
PHA14387,1
PHA17941,19
PHA24106,1
PHA37060,21
PHA38174,26
PHA77817,1
PHA79812,4
PHA81107,1
PHN-2866750,2
PHN-2868606,4
PHN-2907719,1
PHN-3046210,3
PKR28822,1
PKR42621,1
PKR42628,2
PKR45632,5
PKR56799,4
PKR59589,13
PKR59590,12
PKR59591,17
PKR91906,1
PRIZ-BT-77505,3
QGH17901,24
QGH20773,16
QGH28830,3
QGH30391,1
QGH33234,1
QGH36704,3
QGH37094TR,19
QGH44733,26
QGH49263,1
QGH54010,4
QGH68575,3
QGH68580,8
REL52004,1
REL52805,35
REL52867,5
REL91357,1
RJ45KUTU,25
RSB2A080ED,3
RSL1PVBU,4
RSLZVA1,1
RXM040W,41
RXM041FU7,5
RXM2AB1P7,3
RXM4AB1BD,2
RXM4AB1P7,8
RXM4AB1U7,3
RXM4AB2BD,5
RXM4AB2GD,48
RXM4AB2P7,3
RXZE2M114M,75
S1A11835,36
S1A11836,2
S1A17088,33
S1A17880,6
S1A18800,1
S1A19359,1
S1A20308,1
S1A20320,12
S1A20643,1
S1A21284,9
S1A23008,9
S1A23251,18
S1A24150,1
S1A24152,2
S1A25974,1
S1A26459,4
S1A26462,3
S1A27099,2
S1A27817,1
S1A28096,1
S1A34242,1
S1A35572,3
S1A37651,3
S1A37652,1
S1A37657,2
S1A38033,2
S1A41443,1
S1A41933,1
S1A45741,2
S1A46665,5
S1A47334,1
S1A49655,1
S1A50595,1
S1A52369,4
S1A52413,5
S1A63485,8
S1A63487,4
S1A63488,9
S1A63489,7
S1A63493,7
S1A64022,4
S1A67175,2
S1A67957,9
S1A67959,13
S1A68105,1
S1A68924,1
S1A70177,7
S1A71563,7
S1A74397,9
S1A74778,1
S1A79150,7
S1A79496,7
S1A80160,6
S1A80474,15
S1A81405,7
S1A81987,1
S1A81988,3
S1A82710,2
S1A83759,1
S1A89833,2
S1A89834,1
S1A90328,3
S1A90333,4
S1A90334,2
S1A90336,2
S1A90340,1
S1A90341,3
S1A90814,1
S1A91068,3
S1A91664,11
S1A91670,9
S1A91944,1
S1A92263,8
S1B11977,1
S1B12501,4
S1B13759,2
S1B17282,4
S1B17927,1
S1B18405,2
S1B28347,15
S1B28636,2
S1B32159,3
S1B33035,6
S1B33603,4
S1B34391,5
S1B34500,1
S1B39691,4
S1B42175,2
S1B45130,2
S1B45131,2
S1B46834,6
S1B54338,3
S1B60455,19
S1B60456,5
S1B65383,1
S1B66039,1
S1B66738,3
S1B68344,3
S1B90388,3
S1B90975,31
S1B98321,1
S6-CT-CMC3MX,1
S6-CT-DMHTD3C,1
S6-CT-DMHTD3X,6
S6-CT-DMHTS1C,1
S6-CT-DMHTS3X,2
S6-CT-DMTTD3X,1
S6-CT-DMTTS1X,2
S6-CT-DMTTS3X,2
S6-CT-PHA67832,1
S6-KK-O-CT-DM,39
S6-KK-O-CT-GB,3
S6-KK-O-VT-DM,14
S6-KK-O-VT-DMC,4
S6-TM-O-F,18
S6-TM-O-RJ45,17
S6-VT-CM2X,1
S6-VT-CMC2MX,1
S6-VT-CMC3MX,1
S6-VT-DMAED1C,5
S6-VT-PHA67814,2
SET31641,1
SETSM600060,1
SETSM600061,1
SETSM600063,1
SETSM600065,2
SETSM600475,1
ST434-010-024,1
TM3DM8R,1
TME43529,11
TPM0P0070,1
TRFESITAS001,23
TRFESITAS004,1
TRFESITAS007,3
TRFESITAS010,4
TRFESITAS011,8
TRFESITAS014,6
TRFESITAS015,2
TRFESITAS016,1
TRFESITAS017,3
VJKO023E26E000,3
VJKP023G16G000,3
VPI62404,1
VPI62406,1
VPI62416,2
VPI62417,2
VPI62421,1
VW3A8306R30,6
XB5AA21,13
XB5AA31,6
XB5AD21,6
XB5AD25,7
XB5AD53,7
XB5AG41,2
XB5AVM3,8
XB5AVM5,5
XB5AW35M5,1
ZB5AA4,8
ZB5AD2,2
ZB5AV013,10
ZB5AV033,7
ZB5AV043,23
ZB5AV053,17
ZB5AV083,2
ZB5AVBG1,55
ZB5AVM1,4
ZB5AZ101,8
ZBE101,26
ZBE102,19
ZBRN32,1
ZBY9330T,3
ZBZ33,66
ZBZ35,54
